image,split,class,spai
9-129227337-571165.jpg,test,1,0.9999524354934692
9-223024614-309323.jpg,test,1,1.0
9-229464045-418187.jpg,test,1,1.0
9-222129198-524729.jpg,test,1,0.9999998807907104
9-149710935-868409.jpg,test,1,0.9999996423721313
9-224517183-488111.jpg,test,1,1.0
9-139684811-346536.jpg,test,1,1.0
9-201604160-682706.jpg,test,1,0.9999988079071045
9-229999009-338515.jpg,test,1,1.0
9-191070490-267604.jpg,test,1,1.0
9-196336458-423335.jpg,test,1,1.0
9-160667006-123716.jpg,test,1,1.0
9-162811720-517800.jpg,test,1,1.0
9-197106435-893199.jpg,test,1,1.0
9-167120790-810208.jpg,test,1,1.0
9-191508834-771921.jpg,test,1,1.0
9-18188954-997653.jpg,test,1,1.0
9-153976568-345769.jpg,test,1,1.0
9-222903548-990610.jpg,test,1,1.0
9-205912163-657205.jpg,test,1,1.0
9-161861967-453432.jpg,test,1,1.0
9-219996994-857495.jpg,test,1,1.0
9-108357169-68129.jpg,test,1,0.9999971389770508
9-107319460-159455.jpg,test,1,1.0
9-1589142-871846.jpg,test,1,1.0
9-16617720-881803.jpg,test,1,1.0
9-122276933-373957.jpg,test,1,1.0
9-111056876-490009.jpg,test,1,1.0
9-212933110-179309.jpg,test,1,1.0
9-122276933-585375.jpg,test,1,1.0
9-172030993-165218.jpg,test,1,1.0
9-161861967-727762.jpg,test,1,1.0
9-222412695-170780.jpg,test,1,1.0
9-121035952-661394.jpg,test,1,1.0
9-14495288-397645.jpg,test,1,0.9999988079071045
9-178814654-954019.jpg,test,1,0.9999969005584717
9-162384189-194277.jpg,test,1,1.0
9-136791720-467442.jpg,test,1,1.0
9-216708879-265351.jpg,test,1,0.99998939037323
9-173721974-784286.jpg,test,1,1.0
9-182186411-976629.jpg,test,1,1.0
9-181668990-682419.jpg,test,1,1.0
9-136760595-711977.jpg,test,1,0.9999942779541016
9-193109905-101440.jpg,test,1,1.0
9-205680819-989348.jpg,test,1,1.0
9-178589823-965957.jpg,test,1,1.0
9-195792046-446452.jpg,test,1,1.0
9-165979361-952193.jpg,test,1,1.0
9-120608684-227607.jpg,test,1,1.0
9-200662203-341396.jpg,test,1,1.0
9-122338101-655199.jpg,test,1,1.0
9-222636528-916845.jpg,test,1,1.0
9-147213328-257676.jpg,test,1,1.0
9-120608684-312741.jpg,test,1,1.0
9-216142922-761211.jpg,test,1,1.0
9-129227337-147595.jpg,test,1,1.0
9-146069794-658242.jpg,test,1,1.0
9-22608346-234357.jpg,test,1,0.8341463804244995
9-227426324-851257.jpg,test,1,1.0
9-109688958-819424.jpg,test,1,1.0
9-202618026-6858.jpg,test,1,1.0
9-119048575-735696.jpg,test,1,1.0
9-115029451-862661.jpg,test,1,0.3735349178314209
9-183124937-70816.jpg,test,1,1.0
9-213691840-571234.jpg,test,1,1.0
9-20859961-425720.jpg,test,1,0.9999974966049194
9-213691840-552954.jpg,test,1,1.0
9-101822750-913002.jpg,test,1,1.0
9-10302392-180410.jpg,test,1,1.0
9-235834846-85032.jpg,test,1,1.0
9-107222752-442631.jpg,test,1,1.0
9-205051878-615026.jpg,test,1,1.0
9-117179384-563273.jpg,test,1,0.9999799728393555
9-160472865-711603.jpg,test,1,0.9999685287475586
9-22088825-708404.jpg,test,1,0.9999992847442627
9-109688958-503342.jpg,test,1,1.0
9-171448873-109768.jpg,test,1,1.0
9-174793876-382456.jpg,test,1,1.0
9-101822750-637760.jpg,test,1,1.0
9-108387075-626311.jpg,test,1,1.0
9-201604160-728556.jpg,test,1,1.0
9-201692491-418824.jpg,test,1,1.0
9-192028312-608941.jpg,test,1,1.0
9-144657570-354324.jpg,test,1,1.0
9-126844975-102500.jpg,test,1,0.9999936819076538
9-153739107-745863.jpg,test,1,0.9066848158836365
9-192586217-291932.jpg,test,1,1.0
9-187305363-946636.jpg,test,1,0.9998897314071655
9-157999865-391012.jpg,test,1,1.0
9-106449523-875685.jpg,test,1,1.0
9-163890026-962021.jpg,test,1,0.9999986886978149
9-113331080-165305.jpg,test,1,1.0
9-129255413-221462.jpg,test,1,1.0
9-150911814-126055.jpg,test,1,0.994256317615509
9-159377688-384294.jpg,test,1,1.0
9-106261592-924817.jpg,test,1,1.0
9-185661750-619996.jpg,test,1,1.0
9-220774002-300194.jpg,test,1,1.0
9-219053262-174373.jpg,test,1,0.9999995231628418
9-160305416-287503.jpg,test,1,1.0
9-103628441-372821.jpg,test,1,1.0
9-21317478-174222.jpg,test,1,1.0
9-133772084-116736.jpg,test,1,1.0
9-205175158-126553.jpg,test,1,1.0
9-111511534-107653.jpg,test,1,1.0
9-20859961-546793.jpg,test,1,1.0
9-152626711-506397.jpg,test,1,1.0
9-209983016-13045.jpg,test,1,1.0
9-104157631-746428.jpg,test,1,1.0
9-122658995-437698.jpg,test,1,1.0
9-201725771-154738.jpg,test,1,1.0
9-222129198-257207.jpg,test,1,1.0
9-229189032-922600.jpg,test,1,1.0
9-222412695-410269.jpg,test,1,0.9999997615814209
9-205175158-410431.jpg,test,1,1.0
9-211731108-940980.jpg,test,1,1.0
9-160472865-85169.jpg,test,1,1.0
9-18800738-968303.jpg,test,1,1.0
9-194124305-15570.jpg,test,1,1.0
9-222903548-540968.jpg,test,1,1.0
9-138430949-677668.jpg,test,1,0.9999997615814209
9-209780937-213440.jpg,test,1,1.0
9-235253832-597783.jpg,test,1,1.0
9-217011430-107238.jpg,test,1,1.0
9-13721744-207461.jpg,test,1,1.0
9-217011430-755558.jpg,test,1,1.0
9-193181623-142838.jpg,test,1,1.0
9-117991912-392174.jpg,test,1,1.0
9-178497864-835856.jpg,test,1,1.0
9-106449523-416271.jpg,test,1,1.0
9-122353625-348979.jpg,test,1,1.0
9-196336458-534581.jpg,test,1,1.0
9-220732461-70859.jpg,test,1,1.0
9-178937749-745097.jpg,test,1,1.0
9-104077720-526704.jpg,test,1,1.0
9-198154450-246897.jpg,test,1,1.0
9-116281702-926481.jpg,test,1,1.0
9-187305363-403712.jpg,test,1,1.0
9-108357169-654551.jpg,test,1,1.0
9-187475084-298010.jpg,test,1,1.0
9-216959116-505315.jpg,test,1,1.0
9-122338101-583153.jpg,test,1,1.0
9-125871033-397312.jpg,test,1,0.9999955892562866
9-113165507-801829.jpg,test,1,1.0
9-152626711-94211.jpg,test,1,1.0
9-162811720-278929.jpg,test,1,1.0
9-171448873-432902.jpg,test,1,1.0
9-11597873-860457.jpg,test,1,1.0
9-1194684-23264.jpg,test,1,1.0
9-194124305-553561.jpg,test,1,1.0
9-18188954-307331.jpg,test,1,1.0
9-101822750-744248.jpg,test,1,1.0
9-219996994-414460.jpg,test,1,1.0
9-135338595-948649.jpg,test,1,1.0
9-108387075-867990.jpg,test,1,0.999992847442627
9-153836054-947691.jpg,test,1,0.9999997615814209
9-108357169-951979.jpg,test,1,0.9999839067459106
9-160987578-797376.jpg,test,1,1.0
9-219053262-67968.jpg,test,1,0.999998927116394
9-119949903-429998.jpg,test,1,1.0
9-132609707-800556.jpg,test,1,0.9999589920043945
9-223024614-177601.jpg,test,1,1.0
9-201692491-555910.jpg,test,1,1.0
9-157999865-846658.jpg,test,1,1.0
9-229464045-276017.jpg,test,1,1.0
9-193181623-516872.jpg,test,1,1.0
9-178814654-460310.jpg,test,1,0.9999998807907104
9-231486123-499997.jpg,test,1,1.0
9-1804821-349571.jpg,test,1,1.0
9-176805764-484079.jpg,test,1,1.0
9-193895173-288162.jpg,test,1,1.0
9-107774782-983040.jpg,test,1,1.0
9-219996994-865446.jpg,test,1,1.0
9-107222752-982688.jpg,test,1,0.9999725818634033
9-23062284-187826.jpg,test,1,1.0
9-164332348-760474.jpg,test,1,0.9999799728393555
9-220387786-241672.jpg,test,1,1.0
9-158904748-994506.jpg,test,1,1.0
9-1352299-75831.jpg,test,1,1.0
9-209780937-805156.jpg,test,1,1.0
9-216142922-986637.jpg,test,1,1.0
9-194801116-237584.jpg,test,1,1.0
9-213691840-939097.jpg,test,1,1.0
9-211060426-161781.jpg,test,1,1.0
9-184781070-366142.jpg,test,1,0.7966541647911072
9-213785929-266981.jpg,test,1,1.0
9-233396358-856697.jpg,test,1,1.0
9-159717547-610730.jpg,test,1,0.9999992847442627
9-119949903-845427.jpg,test,1,1.0
9-185474233-727801.jpg,test,1,0.8582373857498169
9-21317478-415648.jpg,test,1,1.0
9-178589823-226171.jpg,test,1,1.0
9-195139604-217286.jpg,test,1,1.0
9-16539-148466.jpg,test,1,1.0
9-1804821-786507.jpg,test,1,1.0
9-211060426-444730.jpg,test,1,1.0
9-191508834-273619.jpg,test,1,1.0
9-201725771-261481.jpg,test,1,1.0
9-1352299-169167.jpg,test,1,1.0
9-190426375-113112.jpg,test,1,1.0
9-1352299-743618.jpg,test,1,1.0
9-107222752-636705.jpg,test,1,1.0
9-212933110-765432.jpg,test,1,1.0
