image,class,prediction
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100086213-128066.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100086213-140932.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100086213-342046.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100086213-390322.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100915978-724508.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100915978-796598.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100915978-846112.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-100915978-965661.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-101570382-1457.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-101570382-240261.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-101570382-385412.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-101570382-712800.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102457295-322928.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102457295-402411.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102457295-700923.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102457295-950803.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102916928-276384.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102916928-412183.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102916928-501208.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-102916928-913218.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103000020-151093.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103000020-168466.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103000020-469124.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103000020-733245.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103637448-203451.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103637448-265888.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103637448-462242.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-103637448-530515.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104011471-122039.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104011471-381169.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104011471-407768.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104011471-460053.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104019215-25463.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104019215-318107.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104019215-41760.jpg,1,0.0
/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_SD_art_nouveau/0-104019215-441187.jpg,1,0.0
